N,P,K,temperature,humidity,ph,rainfall,label,NPK_Total,NPK_Average,Humidity_Temp_Index,Soil_Fertility,Rainfall_Category
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,164,54.666666666666664,1787.1623104460289,57.699999999999996,High
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,165,55.0,1913.4636966543974,58.599999999999994,High
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,151,50.333333333333336,1753.4248975287219,53.0,High
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,163,54.333333333333336,1970.9485608373948,57.7,High
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,170,56.666666666666664,1716.1276875876856,59.9,Medium
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,159,53.0,2091.0156032199475,55.300000000000004,High
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,167,55.666666666666664,1777.1869471700752,56.8,High
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,167,55.666666666666664,1740.5898493994537,58.4,High
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,182,60.666666666666664,1910.0007963239996,64.4,High
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,160,53.333333333333336,2019.1877437416465,54.599999999999994,High
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,199,66.33333333333333,2215.3395675442175,69.4,High
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,188,62.666666666666664,1975.7062241152603,66.10000000000001,High
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,153,51.0,1755.504973473851,51.900000000000006,High
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,170,56.666666666666664,1798.4918276070994,59.4,Medium
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,171,57.0,1821.7497027643356,58.599999999999994,High
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,167,55.666666666666664,1781.6929028252587,59.300000000000004,High
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,161,53.666666666666664,2029.3561450063219,56.8,High
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,189,63.0,1654.582853088092,66.5,High
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,186,62.0,2158.7563261468426,64.60000000000001,High
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,192,64.0,2201.185868763597,67.1,Medium
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,191,63.666666666666664,2172.106063900181,67.2,High
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,170,56.666666666666664,1984.2936327172456,60.5,High
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,147,49.0,1743.6097309109664,50.099999999999994,High
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,148,49.333333333333336,2023.9742805393269,50.7,High
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,140,46.666666666666664,1869.6004384414039,48.199999999999996,High
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,152,50.666666666666664,2140.8168670984164,52.0,High
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,179,59.666666666666664,2051.4778933588136,62.0,High
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,162,54.0,2021.1653640524132,56.800000000000004,High
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,182,60.666666666666664,2167.3683177970256,63.1,High
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,164,54.666666666666664,2004.8750907798865,58.3,Medium
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,167,55.666666666666664,2108.5085080184276,57.7,Medium
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,151,50.333333333333336,1966.014521100038,52.699999999999996,High
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,161,53.666666666666664,1748.6771505696352,56.2,High
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,188,62.666666666666664,1981.025851430526,65.2,High
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,139,46.333333333333336,1946.2696872213794,47.699999999999996,High
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,175,58.333333333333336,1610.6040530696182,60.10000000000001,High
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,191,63.666666666666664,1961.6789982345647,66.6,Medium
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,168,56.0,1799.4883323927727,56.9,High
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,183,61.0,2198.9553818780564,64.4,High
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,152,50.666666666666664,1988.1340899643178,53.099999999999994,High
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,166,55.333333333333336,2141.472882339951,57.199999999999996,High
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,172,57.333333333333336,2015.468586949662,60.699999999999996,High
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,157,52.333333333333336,1665.4813411181049,54.2,Medium
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,189,63.0,1743.0982715804714,66.6,High
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,150,50.0,1678.233310296744,52.199999999999996,High
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,186,62.0,2151.0369728066257,64.1,High
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,189,63.0,1727.0077346129756,66.0,High
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,148,49.333333333333336,1763.2046652388292,51.4,High
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,165,55.0,1672.7941132316373,57.1,High
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,176,58.666666666666664,2023.8610189845106,62.699999999999996,Medium
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,190,63.333333333333336,1698.5616795696772,66.89999999999999,Medium
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,180,60.0,2117.4194422085084,62.599999999999994,High
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,156,52.0,1898.0607509387105,53.699999999999996,High
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,184,61.333333333333336,1887.8832187739279,64.3,High
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,154,51.333333333333336,2095.340041585,52.3,High
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,150,50.0,1867.5680374648525,51.699999999999996,High
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,158,52.666666666666664,2060.4855454415074,55.300000000000004,High
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,163,54.333333333333336,1769.9406853285373,56.7,Medium
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,165,55.0,2223.71772741804,57.0,High
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,178,59.333333333333336,1819.612992424076,63.1,High
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,158,52.666666666666664,2186.1981239047213,54.099999999999994,High
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,146,48.666666666666664,2040.3994384410078,51.1,Medium
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,150,50.0,2190.016266281062,52.7,Medium
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,160,53.333333333333336,1898.8390662849524,56.099999999999994,High
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,168,56.0,2097.00275905742,57.199999999999996,Medium
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,152,50.666666666666664,2109.3191347858988,52.8,Medium
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,157,52.333333333333336,2140.149782239888,53.199999999999996,High
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,149,49.666666666666664,2212.9106790266237,51.400000000000006,Medium
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,164,54.666666666666664,2036.3647113174884,55.900000000000006,High
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice,164,54.666666666666664,1843.5073191250704,55.800000000000004,High
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,163,54.333333333333336,1896.267861849514,57.1,High
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,178,59.333333333333336,2074.7153418846956,61.8,Medium
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,176,58.666666666666664,1918.5811371955974,60.9,High
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice,181,60.333333333333336,1752.0752038605476,63.4,High
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice,184,61.333333333333336,2205.9429924869864,64.5,High
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice,172,57.333333333333336,1999.3800305721368,60.6,High
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice,161,53.666666666666664,2125.55265896136,56.4,High
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,156,52.0,2219.200218898906,54.6,High
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice,147,49.0,1879.5237885253864,50.099999999999994,High
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,176,58.666666666666664,1893.2203539351585,61.6,Medium
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice,177,59.0,1768.7595692275354,62.400000000000006,High
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice,160,53.333333333333336,1783.9688681526782,54.0,High
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,157,52.333333333333336,2247.530380521481,54.900000000000006,Medium
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,142,47.333333333333336,1952.7030093933317,49.1,Medium
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize,141,47.0,1440.2761111260722,49.4,Low
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize,122,40.666666666666664,1868.1146660610132,42.7,Medium
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,139,46.333333333333336,1686.6587692525604,49.699999999999996,Low
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,152,50.666666666666664,1152.048671083903,52.9,Low
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,119,39.666666666666664,1158.536141402657,41.800000000000004,Low
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,125,41.666666666666664,1258.887492520089,44.3,Medium
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,151,50.333333333333336,1703.9506254220732,54.6,Medium
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize,168,56.0,1680.0567324083079,59.300000000000004,Low
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize,137,45.666666666666664,1277.1595432319511,48.7,Low
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,152,50.666666666666664,1664.422272904549,52.3,Medium
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,133,44.333333333333336,1712.7225129491437,46.900000000000006,Low
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize,160,53.333333333333336,1698.0355170690752,57.0,Low
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize,130,43.333333333333336,1310.6802540858603,45.199999999999996,Low
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,152,50.666666666666664,1241.5394083060003,54.8,Low
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize,141,47.0,1516.4474767336483,48.9,Low
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,143,47.666666666666664,1009.1243165433957,49.2,Low
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize,134,44.666666666666664,1733.1488127044443,47.2,Medium
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize,119,39.666666666666664,1640.817467193188,41.800000000000004,Low
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,138,46.0,1388.2862478585134,48.0,Low
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,148,49.333333333333336,1135.251960493421,51.800000000000004,Low
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize,155,51.666666666666664,1840.1017914804913,54.199999999999996,Low
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,164,54.666666666666664,1290.1581940490867,59.1,Low
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,152,50.666666666666664,1218.777635249906,53.00000000000001,Low
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize,149,49.666666666666664,1106.480325598861,53.0,Low
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,164,54.666666666666664,1728.8774104821364,59.199999999999996,Low
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,146,48.666666666666664,1735.6098705548375,51.699999999999996,Low
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,151,50.333333333333336,1373.4483983799005,54.699999999999996,Medium
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,139,46.333333333333336,1540.00061095983,49.2,Medium
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,148,49.333333333333336,1457.0692940691524,52.2,Low
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize,161,53.666666666666664,1625.945779339711,57.0,Medium
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,147,49.0,1354.529420634896,52.800000000000004,Low
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,125,41.666666666666664,1028.3375832263325,43.800000000000004,Low
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,166,55.333333333333336,1532.2198198291549,58.2,Low
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize,122,40.666666666666664,1424.8401815823725,43.0,Low
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize,128,42.666666666666664,1633.3763819058918,44.4,Low
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,163,54.333333333333336,1909.406208931981,58.7,Medium
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,149,49.666666666666664,1209.6431693735462,52.199999999999996,Low
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,162,54.0,1284.7439816370877,57.199999999999996,Medium
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,maize,151,50.333333333333336,1780.743444999884,55.1,Low
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,151,50.333333333333336,1414.523974922454,52.9,Low
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,172,57.333333333333336,1763.0884026256438,61.50000000000001,Low
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,127,42.333333333333336,1736.7593701074904,44.1,Low
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,139,46.333333333333336,1303.9039732921779,49.1,Low
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,166,55.333333333333336,1451.7381276904819,58.7,Medium
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,143,47.666666666666664,1618.639118327131,49.8,Medium
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,164,54.666666666666664,1420.2631459472689,58.800000000000004,Low
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,136,45.333333333333336,1709.9712143702295,46.900000000000006,Low
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,150,50.0,1129.2224282173063,52.4,Medium
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,140,46.666666666666664,1606.2297668941037,49.4,Low
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,123,41.0,1262.8540382817375,43.2,Low
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize,155,51.666666666666664,1344.8055307339803,56.4,Low
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,136,45.333333333333336,1402.1405647672882,48.5,Low
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,170,56.666666666666664,1295.7154857770333,59.7,Low
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,115,38.333333333333336,1183.180432041716,40.5,Low
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,165,55.0,1444.277662023,58.9,Medium
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,155,51.666666666666664,1215.6761484999788,56.0,Medium
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,149,49.666666666666664,1353.9365829225849,53.099999999999994,Medium
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,154,51.333333333333336,1288.691946715735,53.900000000000006,Medium
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,maize,130,43.333333333333336,1316.830674656578,45.6,Low
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,114,38.0,1439.5992907290006,40.5,Low
79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize,144,48.0,1410.3636307494212,51.1,Low
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,157,52.333333333333336,1278.7441441728336,54.3,Low
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,142,47.333333333333336,1441.2087872938293,49.3,Low
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,146,48.666666666666664,1935.2693011893073,52.39999999999999,Low
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,142,47.333333333333336,1343.647857336808,50.199999999999996,Low
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,146,48.666666666666664,1229.7030841973965,51.3,Medium
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize,149,49.666666666666664,1314.879574353734,52.8,Low
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize,139,46.333333333333336,1810.6733037196398,49.0,Low
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,130,43.333333333333336,1325.7758176030713,46.10000000000001,Low
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,172,57.333333333333336,1576.4174061692222,61.20000000000001,Low
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,156,52.0,1311.5595220964858,56.699999999999996,Low
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,130,43.333333333333336,1312.410832161326,45.2,Low
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,139,46.333333333333336,1214.8698192881268,50.3,Low
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,163,54.333333333333336,1715.7354063098285,58.300000000000004,Low
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,139,46.333333333333336,1349.7062015569177,49.3,Low
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,146,48.666666666666664,1634.592723483527,51.5,Low
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,136,45.333333333333336,1488.2526578288462,48.199999999999996,Low
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,150,50.0,1093.6060210408816,53.099999999999994,Medium
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize,126,42.0,1682.5968643919769,44.1,Low
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,158,52.666666666666664,1638.3814266119277,57.3,Low
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,167,55.666666666666664,1801.7139545516998,59.1,Medium
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,127,42.333333333333336,1730.8712113289666,44.900000000000006,Medium
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize,141,47.0,1148.655597567959,48.3,Low
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize,141,47.0,1405.4717141599403,49.4,Low
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,137,45.666666666666664,1382.7050538778847,47.2,Medium
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize,141,47.0,1653.4807451347526,51.1,Low
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize,147,49.0,1839.6782569126096,50.6,Medium
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,137,45.666666666666664,1604.6160906004302,48.900000000000006,Low
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize,151,50.333333333333336,1696.0471693282566,53.1,Low
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,175,58.333333333333336,1335.0314355153118,61.7,Low
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,155,51.666666666666664,1298.990416068425,54.4,Medium
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,161,53.666666666666664,1313.7372682652087,57.4,Low
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,145,48.333333333333336,1883.2475979985427,51.1,Low
87,48,25,18.65396672,61.37879671,6.656730007999999,93.62039175,maize,160,53.333333333333336,1144.9580311419854,56.7,Low
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,153,51.0,1548.093494228469,53.00000000000001,Low
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,171,57.0,1378.012499306549,60.3,Low
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize,124,41.333333333333336,1473.988791387052,43.9,Medium
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize,133,44.333333333333336,1171.743907981177,45.900000000000006,Low
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,164,54.666666666666664,1177.8676096507609,57.5,Low
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize,159,53.0,1820.3618450502622,56.0,Low
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,189,63.0,289.2308523990849,60.69999999999999,Low
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea,179,59.666666666666664,325.8533634903764,56.0,Low
39,58,85,17.88776475,15.40589717,5.9969320370000005,68.54932919,chickpea,182,60.666666666666664,275.57706433965075,58.5,Low
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea,179,59.666666666666664,295.4377667099831,55.9,Low
36,67,77,18.36952567,19.56381041,7.152811172000001,79.26357665,chickpea,180,60.0,359.37791752950824,57.599999999999994,Low
32,73,81,20.45078582,15.40312102,5.988992796000002,92.68373702,chickpea,186,62.0,315.00592893955996,59.0,Low
58,70,84,20.6543203,16.60820843,6.231049027999999,74.6631118,chickpea,212,70.66666666666667,343.03125652238015,69.4,Low
59,70,84,17.3348681,18.74926979,7.550808267000001,82.61734721,chickpea,213,71.0,325.0161187809647,69.8,Low
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea,179,59.666666666666664,343.66302979898694,57.9,Low
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea,183,61.0,329.8072080075982,57.7,Low
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea,203,67.66666666666667,405.90766056438264,66.7,Low
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea,188,62.666666666666664,296.3217028606904,60.7,Low
58,63,81,19.81344531,14.69765308,6.515499548999999,78.96514709,chickpea,202,67.33333333333333,291.21114548593306,66.4,Low
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea,170,56.666666666666664,370.3037226494633,53.3,Low
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea,166,55.333333333333336,267.6961556400155,52.5,Low
28,72,84,18.72963144,19.18197264,6.481783042999999,71.58010169,chickpea,184,61.333333333333336,359.2712778393638,58.0,Low
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea,182,60.666666666666664,416.96386533660745,59.599999999999994,Low
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea,194,64.66666666666667,332.5233016280948,62.10000000000001,Low
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea,179,59.666666666666664,275.4205584305886,56.2,Low
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea,178,59.333333333333336,299.18438368772206,56.5,Low
26,80,83,17.08498521,16.14565756,7.528599957000001,71.31007253,chickpea,189,63.0,275.8483206183247,59.3,Low
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea,170,56.666666666666664,303.667547176489,53.5,Low
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,185,61.666666666666664,263.5690800290154,58.599999999999994,Low
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea,211,70.33333333333333,352.4846041535594,69.3,Low
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea,204,68.0,357.04491503767076,67.1,Low
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,167,55.666666666666664,247.6131816258245,52.3,Low
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea,181,60.333333333333336,305.0161734366033,57.9,Low
59,60,84,19.03025305,18.66725565,7.690962337999999,94.70992037,chickpea,203,67.66666666666667,355.2425987685422,66.8,Low
54,77,85,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,chickpea,216,72.0,292.54716698216174,70.2,Low
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea,192,64.0,313.4266218649508,61.89999999999999,Low
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea,186,62.0,293.23111392812604,58.599999999999994,Low
